name	dist_sep	flux	flux_err	eflux	eflux_err	index	index_err	gal_pref	gal_pref_err	iso_norm	iso_norm_err	flux_ul	eflux_ul	TS
UN587739131347140868	0.324	2.22e-11	1.97e-11	5.12e-07	3.75e-07	1.49	0.48	0.44	0.03	1.48	0.04	4.16e-11	9.6e-07	13.26
UN587725551212888217	0.428	6.26e-11	2.08e-11	1.35e-07	5.07e-08	2.86	0.49	1.17	0.1	0.88	0.11	9.75e-11	2.1e-07	13.22
RCS1111_06824	0.19	1.05e-10	3.49e-11	2.32e-07	8.41e-08	2.81	0.44	1.07	0.06	1.2	0.11	1.62e-10	3.59e-07	13.19
GZ587739457223917692	0.201	3.02e-11	1.71e-11	4.06e-07	2.15e-07	1.68	0.18	0.43	0.03	1.53	0.04	5.53e-11	7.44e-07	13.17
GZ587739459371270358	0.394	6.02e-11	2.26e-11	2.03e-07	9.2e-08	2.36	0.34	0.41	0.03	1.54	0.04	9.69e-11	3.26e-07	13.17
RCS0133_02036	0.062	1.02e-10	3.18e-11	1.72e-07	6.01e-08	3.46	0.62	1.18	0.04	0.82	0.06	1.57e-10	2.64e-07	13.15
RCS1514_08975	0.084	1.12e-10	3.61e-11	2.13e-07	7.26e-08	3.1	0.53	0.97	0.03	0.88	0.1	1.72e-10	3.27e-07	13.15
UN587739610245103741	0.0	7.5e-11	2.65e-11	1.03e-07	3.4e-08	4.71	1.45	1.07	0.05	0.93	0.05	1.16e-10	1.59e-07	13.08
UN588017719576100949	0.449	3.43e-11	1.65e-11	2.17e-07	1.26e-07	1.99	0.31	1.07	0.11	0.98	0.1	6.03e-11	3.81e-07	13.04
GZ587733409912193215	0.366	5.16e-11	2.24e-11	1.62e-07	6.81e-08	2.42	0.39	1.03	0.07	1.0	0.08	8.47e-11	2.66e-07	12.97
RCS2329_14681	0.076	7.33e-11	2.95e-11	2.59e-07	1.19e-07	2.33	0.35	0.9	0.05	1.01	0.1	1.2e-10	4.23e-07	12.9
GZ587739406797766859	0.432	3.36e-11	1.89e-11	2.76e-07	1.7e-07	1.88	0.32	0.76	0.03	1.23	0.06	6.15e-11	5.05e-07	12.89
GZ588017626148372666	0.385	5.45e-11	1.99e-11	1.94e-07	9.17e-08	2.32	0.31	1.03	0.12	1.03	0.11	8.81e-11	3.13e-07	12.85
GZ587742014366548088	0.0	4.07e-11	1.78e-11	4.16e-07	2.39e-07	1.79	0.25	0.8	0.04	1.25	0.06	6.94e-11	7.11e-07	12.77
RCS2143_11312	0.026	6.47e-11	2.75e-11	3.58e-07	1.84e-07	2.06	0.29	1.07	0.04	0.85	0.1	1.07e-10	5.92e-07	12.75
UN587735240101265558	0.273	4.35e-11	2.13e-11	2.68e-07	1.59e-07	2.0	0.33	1.05	0.05	1.0	0.08	7.63e-11	4.71e-07	12.73
GZ587733609093595484	0.492	1.11e-11	8.42e-12	4.78e-07	3.46e-07	1.26	0.4	0.9	0.04	1.05	0.06	2.31e-11	9.94e-07	12.72
GZ587739607547904037	0.305	6e-11	2.32e-11	2.05e-07	9.46e-08	2.35	0.35	0.97	0.09	1.18	0.1	9.75e-11	3.33e-07	12.7
RCS0047_00316	0.379	8.12e-11	3.54e-11	2.67e-07	1.19e-07	2.38	0.42	0.95	0.03	1.11	0.06	1.32e-10	4.34e-07	12.69
GZ587733195161337955	0.392	5.18e-11	1.97e-11	2.04e-07	1e-07	2.25	0.32	1.36	0.12	0.78	0.11	8.38e-11	3.3e-07	12.65
GZ587742904476500085	0.392	8.66e-11	2.92e-11	1.74e-07	6.32e-08	2.99	0.53	0.96	0.05	1.09	0.08	1.35e-10	2.71e-07	12.63
GZ587727222480699513	0.214	7.83e-12	8.31e-12	4.88e-07	3.94e-07	1.11	0.53	1.11	0.03	0.57	0.08	1.93e-11	1.21e-06	12.61
GZ587732577764049083	0.352	7.58e-11	3.25e-11	2.34e-07	9.66e-08	2.43	0.37	0.96	0.05	1.11	0.1	1.24e-10	3.83e-07	12.59
GZ587733398652518655	0.312	9.39e-11	3.14e-11	2.11e-07	7.68e-08	2.79	0.41	1.03	0.03	1.05	0.09	1.46e-10	3.28e-07	12.59
GT1237665564997714246	0.482	1.02e-10	3.25e-11	1.71e-07	5.88e-08	3.48	0.6	0.4	0.03	2.09	0.06	1.57e-10	2.63e-07	12.47
RCS2338_14716	0.076	6.17e-11	2.68e-11	2.18e-07	1e-07	2.33	0.36	0.99	0.07	0.89	0.09	1.03e-10	3.63e-07	12.38
GZ587726015070011519	0.254	4.87e-11	2.27e-11	2.74e-07	1.5e-07	2.05	0.3	0.73	0.04	1.35	0.07	8.43e-11	4.74e-07	12.35
GZ587742060009685043	0.0	1.02e-10	3.27e-11	1.7e-07	6.02e-08	3.51	0.71	0.63	0.04	1.56	0.07	1.58e-10	2.62e-07	12.34
GZ587739158189047958	0.25	3.7e-11	1.81e-11	2.6e-07	1.57e-07	1.94	0.3	1.02	0.08	0.94	0.09	6.57e-11	4.63e-07	12.33
GZ587741531697381719	0.051	6.77e-11	2.64e-11	2.68e-07	1.3e-07	2.25	0.32	0.91	0.06	1.22	0.1	1.1e-10	4.38e-07	12.33
GZ587733080273977393	0.196	4.78e-11	1.84e-11	1.91e-07	9.79e-08	2.24	0.32	1.24	0.11	0.83	0.1	7.86e-11	3.15e-07	12.31
RCS1303_07417	0.442	3.94e-11	2.48e-11	3.54e-07	2.08e-07	1.84	0.33	0.9	0.06	1.16	0.13	7.23e-11	6.49e-07	12.28
UN587732483815375001	0.478	1.07e-11	1.3e-11	3.95e-07	3.23e-07	1.32	0.58	1.15	0.13	0.87	0.12	2.47e-11	9.11e-07	12.25
GZ588023668092436481	0.1	7.67e-11	2.95e-11	1.58e-07	5.71e-08	2.93	0.31	1.13	0.05	1.15	0.05	1.22e-10	2.53e-07	12.2
UN587738617565085870	0.184	5.13e-11	2.12e-11	2.27e-07	1.16e-07	2.18	0.31	1.42	0.12	0.75	0.13	8.57e-11	3.79e-07	12.14
GZ587736916748730375	0.102	9.28e-11	3.06e-11	1.77e-07	6.26e-08	3.09	0.43	0.96	0.06	1.04	0.12	1.45e-10	2.77e-07	12.12
GZ588017702949355901	0.305	1.01e-10	3.47e-11	2.29e-07	8.51e-08	2.78	0.4	0.85	0.04	1.32	0.09	1.58e-10	3.59e-07	12.09
GZ587731679043387497	0.3	8.19e-11	3.74e-10	1.09e-07	5e-07	5.0	0.09	0.92	0.02	1.17	0.03	1.28e-10	1.71e-07	11.9
RCS2329_12999	0.315	6.45e-11	2.67e-11	2.97e-07	1.56e-07	2.16	0.32	0.96	0.04	0.91	0.11	1.07e-10	4.92e-07	11.85
GZ587742774013657199	0.498	3.45e-11	2.19e-11	3.43e-07	2.14e-07	1.8	0.34	1.04	0.05	1.19	0.07	6.44e-11	6.41e-07	11.82
GZ587725818015777029	0.433	5.42e-11	2.13e-11	2.1e-07	1.1e-07	2.26	0.36	1.06	0.03	0.86	0.05	8.9e-11	3.45e-07	11.77
GZ587739706877935782	0.403	5.87e-11	2.39e-11	2.53e-07	1.24e-07	2.19	0.29	0.91	0.04	1.2	0.09	9.73e-11	4.2e-07	11.75
UN587733409912979581	0.409	2.07e-11	1.48e-11	3.65e-07	2.57e-07	1.58	0.38	1.05	0.08	0.94	0.09	3.95e-11	6.98e-07	11.74
GZ587725590382903536	0.359	3.32e-11	2.11e-11	2.34e-07	1.38e-07	1.94	0.38	1.1	0.05	1.03	0.09	6.01e-11	4.23e-07	11.69
GZ587732470386720782	0.435	3.06e-11	2.13e-11	3.2e-07	2.11e-07	1.78	0.36	1.06	0.05	1.02	0.09	5.89e-11	6.16e-07	11.63
RCS1514_08103	0.0	1.46e-10	4.71e-11	2.11e-07	7.46e-08	4.26	0.82	0.75	0.04	1.52	0.09	2.25e-10	3.23e-07	11.62
GZ587739096450269339	0.152	6.05e-11	2.42e-11	1.96e-07	8.01e-08	2.39	0.17	1.29	0.05	0.88	0.05	9.93e-11	3.22e-07	11.56
GZ587729158427967586	0.355	6.23e-11	3.01e-11	3.41e-07	1.91e-07	2.06	0.35	0.92	0.06	1.14	0.12	1.06e-10	5.8e-07	11.56
RCS1613_09492	0.0	3.87e-12	4.39e-12	6.33e-07	7.13e-07	0.56	1.67	1.07	0.02	1.07	0.03	9.33e-12	1.53e-06	11.56
GZ587742775641374736	0.128	8.98e-11	3.09e-11	1.67e-07	6.21e-08	3.17	0.65	0.93	0.05	1.08	0.08	1.41e-10	2.62e-07	11.56
GZ587742903939956872	0.399	5.38e-11	2.42e-11	2.66e-07	1.52e-07	2.12	0.34	1.01	0.05	1.02	0.08	9.19e-11	4.54e-07	11.51
GZ587742774555181215	0.489	7.43e-11	2.82e-11	1.71e-07	6.78e-08	2.76	0.49	1.16	0.06	1.13	0.07	1.2e-10	2.75e-07	11.47
GT1237667109574279383	0.434	8.95e-11	3.31e-11	1.92e-07	7.31e-08	2.87	0.52	0.93	0.05	1.32	0.1	1.43e-10	3.06e-07	11.47
RCS0310_04176	0.309	9.13e-11	3.13e-11	1.85e-07	7e-08	2.97	0.49	1.0	0.03	0.9	0.07	1.44e-10	2.92e-07	11.46
GZ588018253760757868	0.431	3.42e-11	1.7e-11	2.04e-07	1.2e-07	2.02	0.33	0.79	0.04	1.08	0.07	6.06e-11	3.62e-07	11.42
